local ID,Uniform title,AKA,Language.AKA,NS Title,Language.NS Title,Original Language Title,Original Language,LOC,Title.LOC,VIAF,Title.VIAF,Pinakes,Title.Pinakes,CPG,Title.CPG,biblId.CPG,HAF,Title.HAF,Syriaca,Title.Syriaca,Genres,Author,Date.creation,Date.normalized,Notes
1,Celestial hierarchy,,,De coelesti hierarchia,Latin,,Greek,https://id.loc.gov/authorities/names/nr00007867,"Pseudo-Dionysius, the Areopagite. Celestial hierarchy",https://viaf.org/viaf/293071222,"Pseudo-Dionysius, the Areopagite. | Celestial hierarchy",https://pinakes.irht.cnrs.fr/notices/oeuvre/2242/,Dionysius Areopagita (pseudo) De coelesti hierarchia,6600,De coelesti hierarchia,999,https://w3id.org/haf/work/428766892157,"Pseudo-Dionysius, the Areopagite. Celestial hierarchy",,,Theological works,,,,
2,"Evagrius, Ponticus, 345?-399. On Evil Thoughts",De malignis cogitationibus ; Thoughts,Latin ; English,,,Περὶ διαφορῶν πονηρῶν λογισμῶν,Greek,,,,,https://pinakes.irht.cnrs.fr/notices/oeuvre/2244/,Euagrius Ponticus De Cogitationibus,2450,De malignis cogitationibus,999,,,,,Theological works,999,4th century,301/400,
3,"John Chrysostom, Saint, -407. Homilies on Genesis",,,,,,,http://id.loc.gov/authorities/names/n85120913,"John Chrysostom, Saint, -407. Homilies on Genesis",https://viaf.org/viaf/185525092,"John Chrysostom, Saint, -407. | Homilies on Genesis",,,,,,,,,,"Theological works, Commentaries",998,,,
4,The Ladder of Divine Ascent,Ladder of Paradise ; Climax Paradisi ; Scala Paradisi,English ; Latin ; Latin,,,,Greek,,, https://viaf.org/viaf/313377307,"John, Climacus, Saint, active 6th century. | Scala Paradisi",https://pinakes.irht.cnrs.fr/notices/oeuvre/12161/,"Iohannes Climacus, Scala paradisi",7852,Scala Paradisi,999,https://w3id.org/haf/work/772036848335,"John, Climacus, Saint, active 6th century. Scala paradisi",https://syriaca.org/work/0001,Ladder of Divine Ascent,Theological works,997,600,600,Author: John Climacus
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
